"variable","CODE_SEC","RES_SEC","W_IND"
"h7","9309","9311",230.490914194704
"h7","9309","9412",82.8597879151922
"h7","9309","9506",479.142654526999
"h7","9312","7505",438.479848756589
"h7","9312","7511",517.519343872566
"h7","9312","7512",685.9895501161
"h7","9312","7703",229.017142510687
"h7","9312","7803",291.938002347611
"h7","9312","9101",142.836700760207
"h7","9312","9104",193.024739848897
"h7","9312","9203",231.078563792123
"h7","9312","9308",96.7239673742393
"h7","9312","9309",269.310416623733
"h7","9312","9310",170.975462527995
"h7","9312","9311",1044.89820738421
"h7","9312","9501",199.818421854183
"h7","9312","9502",225.936795582239
"h7","9312","9506",235.428648172535
"h7","9403","7507",995.774216438459
"h7","9403","7704",317.311895782086
"h7","9403","7713",100.482432172352
"h7","9403","9110",193.62263920907
"h7","9403","9209",448.090620860321
"h7","9403","9309",539.847179854822
"h7","9403","9312",416.731018724128
"h7","9403","9402",792.297050851851
"h7","9403","9404",652.074842086997
"h7","9403","9405",545.614127950332
"h7","9405","7712",1110.96039736789
"h7","9405","7807",195.575273759329
"h7","9405","7809",795.890792819854
"h7","9405","9101",620.028073509828
"h7","9405","9102",111.355560417217
"h7","9405","9103",153.955361243905
"h7","9405","9106",236.820429600943
"h7","9405","9109",293.204206203972
"h7","9405","9308",139.16596099356
"h7","9405","9312",403.544612231543
"h7","9405","9404",1111.31584189656
"h7","9405","9406",579.84771933286
"h7","9405","9410",454.332371981359
"h7","9405","9504",133.118667778245
"h7","9405","9505",456.090637958393
"h8","7501","7502",698.090237630815
"h8","7501","7505",486.120372608461
"h8","7501","7512",808.028210517076
"h8","7501","7513",433.778193236557
"h8","7501","7703",215.745522026898
"h8","7501","7705",116.988319833067
"h8","7501","7713",64.2665294667268
"h8","7501","7716",335.814453968879
"h8","7501","7804",277.232150779954
"h8","7501","9101",162.942377462326
"h8","7501","9102",124.751327754948
"h8","7501","9104",371.102104297336
"h8","7501","9110",926.383212736386
"h8","7501","9201",380.548111784747
"h8","7501","9202",225.624484334212
"h8","7501","9203",437.869875595689
"h8","7501","9210",607.276037394754
"h8","7501","9211",303.865703728928
"h8","7501","9303",796.695688612505
"h8","7501","9308",151.992750205507
"h8","7501","9311",1217.54033751419
"h8","7501","9404",358.873684218916
"h8","7501","9406",289.476595758496
"h8","7501","9407",450.857708424343
"h8","7501","9409",512.819646354175
"h8","7501","9501",433.976001360725
"h8","7501","9504",248.456852666284
"h8","7501","9505",377.624180907619
"h8","7501","9509",304.21905012161
"h8","7502","7509",537.013264591642
"h8","7502","7513",450.143634696773
"h8","7502","7706",177.998256740168
"h8","7502","7712",360.927361252878
"h8","7502","7801",2511.0224688795
"h8","7502","7806",265.71694239257
"h8","7502","7807",184.022635324949
"h8","7502","7810",371.553769468466
"h8","7502","9107",319.02975638387
"h8","7502","9211",1059.99239810444
"h8","7502","9302",104.61938976375
"h8","7502","9306",542.892221328501
"h8","7502","9310",520.215576519205
"h8","7502","9312",403.544612231543
"h8","7502","9406",313.566373789319
"h8","7502","9411",233.859448068138
"h8","7502","9413",581.54250157423
"h8","7502","9504",160.114000971097
"h8","7502","9507",466.032842784272
"h8","7502","9512",709.650900477028
"h8","7503","7504",923.919913175086
"h8","7503","7506",599.559213145899
"h8","7503","7511",1797.18362768502
"h8","7503","7512",877.255557669283
"h8","7503","7513",2793.2415643576
"h8","7503","7705",296.228956639642
"h8","7503","7706",123.328703092487
"h8","7503","7708",575.966486170447
"h8","7503","7709",346.100951681503
"h8","7503","7713",68.2965843246199
"h8","7503","7715",189.338267711262
"h8","7503","7804",458.493705363633
"h8","7503","7805",973.687796450693
"h8","7503","9107",503.827622592846
"h8","7503","9108",170.070623058147
"h8","7503","9203",214.937966131731
"h8","7503","9204",219.140090697053
"h8","7503","9209",230.124449117333
"h8","7503","9306",269.857384471753
"h8","7503","9307",173.517411110159
"h8","7503","9308",438.449789968463
"h8","7503","9310",890.902750892765
"h8","7503","9311",495.115895642556
"h8","7503","9312",625.105872333673
"h8","7503","9402",931.491046974558
"h8","7503","9404",279.746082095448
"h8","7503","9409",1077.83600776627
"h8","7503","9410",137.888531213985
"h8","7503","9411",186.987440143931
"h8","7503","9413",238.741175842272
"h8","7503","9505",265.687756332211
"h8","7503","9509",207.465755382877
"h8","7504","7704",764.63037044388
"h8","7504","7708",395.596676256236
"h8","7504","7716",398.748698618779
"h8","7504","7804",306.388217851952
"h8","7504","7806",329.849792020762
"h8","7504","9305",214.601482685492
"h8","7504","9310",431.860142335252
"h8","7504","9311",166.697712242957
"h8","7504","9414",76.6859174517552
"h8","7504","9505",529.826430618815
"h8","7504","9508",651.550601649206
"h8","7504","9509",169.162417370397
"h8","7504","9512",532.353342030526
"h8","7506","7505",438.479848756589
"h8","7506","7507",439.280292971533
"h8","7506","7508",423.114266948085
"h8","7506","7513",1293.74858656272
"h8","7506","7514",1173.18023759022
"h8","7506","7702",409.571486541489
"h8","7506","7716",594.733975539198
"h8","7506","9101",164.339928293723
"h8","7506","9106",287.977604453847
"h8","7506","9108",136.662763739706
"h8","7506","9109",393.08553034651
"h8","7506","9203",1164.75427544557
"h8","7506","9305",434.827629949235
"h8","7506","9308",758.491341831837
"h8","7506","9312",434.907972904677
"h8","7506","9407",1179.3427355125
"h8","7506","9410",136.596568196579
"h8","7506","9411",224.281951780748
"h8","7506","9504",142.660581572721
"h8","7506","9508",367.420201802623
"h8","7507","7504",373.035990512243
"h8","7507","7513",450.143634696773
"h8","7507","7703",151.803993004368
"h8","7507","7706",103.090105052213
"h8","7507","7713",119.102957890873
"h8","7507","7714",294.360249185841
"h8","7507","7807",222.381819820214
"h8","7507","7809",284.762969452701
"h8","7507","9101",164.339928293723
"h8","7507","9104",188.219329369305
"h8","7507","9202",222.158925294692
"h8","7507","9204",193.378951566798
"h8","7507","9211",243.79374943504
"h8","7507","9304",484.525318878904
"h8","7507","9307",246.398780458067
"h8","7507","9311",1084.11531612686
"h8","7507","9312",331.182761112067
"h8","7507","9407",293.84538112009
"h8","7507","9412",305.793407694507
"h8","7507","9413",396.065819157417
"h8","7507","9414",127.863345654567
"h8","7507","9502",121.3489395075
"h8","7507","9506",185.126411097116
"h8","7508","7511",1201.44448483784
"h8","7508","7514",448.893637738639
"h8","7508","9113",243.707791492068
"h8","7508","9201",254.659074660277
"h8","7508","9202",330.481934289585
"h8","7508","9211",244.381719451218
"h8","7508","9302",446.806592810028
"h8","7508","9310",168.773079644374
"h8","7508","9404",180.671900861565
"h8","7508","9406",205.143535476994
"h8","7508","9410",136.596568196579
"h8","7508","9513",167.978481048577
"h8","7509","7510",1317.56077248631
"h8","7509","7511",741.47196346191
"h8","7509","7513",221.359297298446
"h8","7509","7708",284.915341165837
"h8","7509","7806",257.817527727269
"h8","7509","7812",470.981729773504
"h8","7509","9104",141.783267145321
"h8","7509","9106",287.977604453847
"h8","7509","9111",104.705783801709
"h8","7509","9114",258.904591842465
"h8","7509","9201",232.246263701851
"h8","7509","9202",467.049857874969
"h8","7509","9208",251.088089952697
"h8","7509","9209",552.675694117699
"h8","7509","9212",125.866738146825
"h8","7509","9306",502.296889118039
"h8","7509","9307",131.682144732465
"h8","7509","9308",348.009573205665
"h8","7509","9310",180.354933043045
"h8","7509","9312",665.482669460879
"h8","7509","9410",106.614704782019
"h8","7509","9411",181.191175885705
"h8","7509","9508",294.454775884408
"h8","7510","7505",955.121033166691
"h8","7510","7512",699.252231973557
"h8","7510","7705",267.736165128328
"h8","7510","7706",127.914203329768
"h8","7510","7708",874.171483373027
"h8","7510","7801",433.720044854315
"h8","7510","9102",210.557392434884
"h8","7510","9201",784.614322194422
"h8","7510","9204",255.878344983993
"h8","7510","9303",404.053214847587
"h8","7510","9308",260.577239002472
"h8","7510","9310",402.172434372961
"h8","7510","9311",805.198395198074
"h8","7510","9403",531.210371658588
"h8","7510","9407",247.337705399178
"h8","7510","9409",592.074215485125
"h8","7510","9410",106.614704782019
"h8","7510","9412",84.253772954963
"h8","7510","9504",153.774174285018
"h8","7511","7504",258.099704920352
"h8","7511","7512",754.421538467717
"h8","7511","7513",433.778193236557
"h8","7511","7514",435.085027503416
"h8","7511","7702",597.433896980407
"h8","7511","9102",165.875650013428
"h8","7511","9108",148.618712216429
"h8","7511","9208",169.620448938945
"h8","7511","9302",169.840288424357
"h8","7511","9303",916.117111365875
"h8","7511","9308",96.7239673742393
"h8","7511","9312",1145.49905622106
"h8","7511","9402",344.613303854283
"h8","7511","9506",308.565700709883
"h8","7511","9508",331.100047120362
"h8","7512","7511",875.4108334159
"h8","7512","7513",713.911573020149
"h8","7512","7705",232.315141150404
"h8","7512","7807",262.099314895554
"h8","7512","9106",146.153301952425
"h8","7512","9201",1242.15407125387
"h8","7512","9202",584.750231805003
"h8","7512","9311",1364.9079887097
"h8","7512","9312",1200.94226732183
"h8","7512","9402",446.361730343154
"h8","7512","9403",377.169752165913
"h8","7512","9502",225.936795582239
"h8","7512","9503",299.435712583234
"h8","7512","9506",94.03219575891
"h8","7512","9507",372.188666368622
"h8","7513","7501",367.098758101461
"h8","7513","7512",558.700650339813
"h8","7513","7514",795.337460281406
"h8","7513","7704",312.9817213798
"h8","7513","7707",218.764073848291
"h8","7513","7711",850.037538747064
"h8","7513","7716",278.597214244562
"h8","7513","9101",136.699297266234
"h8","7513","9307",117.421452835778
"h8","7513","9311",307.926731611038
"h8","7513","9312",323.721827323268
"h8","7513","9403",555.477183616594
"h8","7513","9406",282.219117756987
"h8","7513","9410",348.403608978624
"h8","7513","9503",281.377068125713
"h8","7513","9505",494.897409672525
"h8","7513","9506",1259.13801157674
"h8","7513","9507",326.748054845232
"h8","7701","7702",2014.75776933729
"h8","7701","7706",490.069141012495
"h8","7701","7709",1023.06001223057
"h8","7701","7713",93.0490888055788
"h8","7701","7716",90.9522911038805
"h8","7701","9202",132.200397729544
"h8","7701","9211",510.620535981343
"h8","7701","9302",243.35090235657
"h8","7701","9306",1108.44289120351
"h8","7701","9307",204.422810341531
"h8","7701","9309",989.000217989094
"h8","7701","9412",363.810786255913
"h8","7701","9509",167.394485180018
"h8","7702","7706",241.192230816819
"h8","7702","9108",138.816379841595
"h8","7702","9302",134.463403707121
"h8","7702","9307",320.701101861609
"h8","7702","9310",193.745394237098
"h8","7702","9409",677.474346481946
"h8","7702","9411",275.133432173104
"h8","7702","9412",301.683876683984
"h8","7702","9413",503.881547936295
"h8","7704","7705",3080.11729476058
"h8","7704","7706",676.032108200757
"h8","7704","7709",282.530651837571
"h8","7704","7713",72.0964854269315
"h8","7711","7704",444.120957594681
"h8","7711","7707",312.092355738397
"h8","7711","7709",842.179496825926
"h8","7711","7712",570.084815852259
"h8","7711","7713",100.482432172352
"h8","7711","7714",561.178300740501
"h8","7711","7715",70.4463018479532
"h8","7711","7716",485.321252218083
"h8","7711","9509",179.101168221967
"h8","7812","7803",785.044349641331
"h8","7812","7804",272.987240444916
"h8","7812","7808",361.664945749306
"h8","7812","7816",466.866993390694
"h8","7812","9113",162.689293508282
"h8","7812","9114",268.423916442624
"h8","7812","9202",386.214050575745
"h8","7812","9212",273.574295379402
"h8","7812","9310",389.801904505922
"h8","7816","7806",306.876800015671
"h8","7816","7809",730.110631996894
"h8","7816","7810",82.7234502877538
"h8","7816","7811",237.410349210786
"h8","7816","7812",2344.96608484939
"h8","7816","7813",129.546998702594
"h8","7816","7815",730.068767824492
"h8","7816","9102",131.961101566948
"h8","7816","9108",125.752553857531
"h8","7816","9111",175.723462071805
"h8","7816","9209",279.675692449758
"h8","9101","7507",1201.14708240737
"h8","9101","9103",137.043598076961
"h8","9101","9104",601.380622348819
"h8","9101","9105",414.559580354289
"h8","9101","9106",952.113297333577
"h8","9101","9107",393.951140514705
"h8","9101","9110",488.037478719355
"h8","9101","9112",147.146422754366
"h8","9101","9114",309.336789725664
"h8","9101","9405",130.25684952124
"h8","9106","7506",701.336630905966
"h8","9106","7713",92.2197892204373
"h8","9106","7716",188.468123764034
"h8","9106","9101",306.751198608177
"h8","9106","9103",616.060071040719
"h8","9106","9104",112.439194951381
"h8","9106","9109",260.908012520919
"h8","9106","9110",166.956674124884
"h8","9106","9112",225.487900623567
"h8","9106","9204",498.649162898065
"h8","9111","7716",272.722327103171
"h8","9111","9101",142.836700760207
"h8","9111","9104",128.778588232998
"h8","9111","9106",287.977604453847
"h8","9111","9112",347.997128891457
"h8","9111","9114",307.353707653342
"h8","9111","9306",207.888688302303
"h8","9111","9309",326.766237877171
"h8","9111","9310",186.828912691687
"h8","9111","9405",96.2316721651672
"h8","9113","7816",237.079019975988
"h8","9113","9105",276.240370329327
"h8","9113","9112",551.11417154033
"h8","9113","9114",2879.73607945059
"h8","9113","9202",161.170760983099
"h8","9113","9210",498.515415432272
"h8","9113","9211",631.560200648455
"h8","9113","9311",230.490914194704
"h8","9201","7807",417.957093579543
"h8","9201","7816",579.733094699696
"h8","9201","9202",768.427188575521
"h8","9201","9203",288.301375636794
"h8","9201","9311",541.157579626785
"h8","9201","9312",401.68504001904
"h8","9201","9505",494.897409672525
"h8","9201","9507",234.751312178433
"h8","9201","9509",513.84765855372
"h8","9203","7501",918.39516021131
"h8","9203","7806",229.844198896852
"h8","9203","7807",211.795257955177
"h8","9203","7808",415.79499395698
"h8","9203","9201",1814.47942162921
"h8","9203","9202",268.15789693378
"h8","9203","9204",255.878344983993
"h8","9203","9205",565.605959225296
"h8","9203","9211",491.423024541763
"h8","9203","9212",185.983513155092
"h8","9203","9307",155.415417659369
"h8","9203","9310",197.926554940423
"h8","9203","9311",1477.74565753124
"h8","9203","9312",291.38820888311
"h8","9203","9402",312.951160515468
"h8","9203","9405",98.3229097589502
"h8","9203","9509",117.061091869875
"h8","9203","9510",234.417789577713
"h8","9203","9512",333.531772566859
"h8","9204","7501",1078.01098397331
"h8","9204","7701",480.447623493181
"h8","9204","7806",216.867798032449
"h8","9204","7807",123.543848037433
"h8","9204","9105",221.58718908087
"h8","9204","9201",2270.71803983174
"h8","9204","9202",189.900088244642
"h8","9204","9205",1054.89756054241
"h8","9204","9206",571.294219715032
"h8","9204","9311",230.490914194704
"h8","9204","9407",446.207936442344
"h8","9204","9408",130.962782173358
"h8","9204","9413",105.872390574371
"h8","9204","9501",177.554217419425
"h8","9204","9508",526.979552212837
"h8","9204","9512",536.96712059578
"h8","9204","9513",475.80633122335
"h8","9205","7503",292.477479152627
"h8","9205","7712",337.422615627976
"h8","9205","7809",308.606375847003
"h8","9205","7811",227.687287980111
"h8","9205","7812",470.981729773504
"h8","9205","7814",31.8047415607077
"h8","9205","9113",89.3928458407631
"h8","9205","9201",605.68524348705
"h8","9205","9202",290.137907221233
"h8","9205","9203",529.690214986595
"h8","9205","9204",202.121853959766
"h8","9205","9306",170.464107195556
"h8","9205","9309",220.37850833638
"h8","9205","9311",732.401227217076
"h8","9205","9312",403.544612231543
"h8","9205","9413",686.377316047152
"h8","9205","9501",221.99789014267
"h8","9205","9503",626.075959396213
"h8","9205","9506",447.321017919262
"h8","9208","7507",632.862995053315
"h8","9208","7705",227.651949418699
"h8","9208","7806",417.123677141243
"h8","9208","9111",237.331345581108
"h8","9208","9206",222.267485174755
"h8","9208","9209",615.931050691452
"h8","9208","9306",269.857384471753
"h8","9208","9311",763.766232119027
"h8","9208","9504",102.505051615206
"h8","9208","9509",236.765625371552
"h8","9209","7508",432.033808941384
"h8","9209","7512",631.85568192512
"h8","9209","7806",534.181617120094
"h8","9209","9108",168.028378414248
"h8","9209","9109",845.164284537958
"h8","9209","9111",327.106305472625
"h8","9209","9201",336.910290492393
"h8","9209","9211",563.273274927149
"h8","9209","9405",101.684333844045
"h8","9209","9411",157.412030837636
"h8","9209","9509",207.465755382877
"h8","9303","7503",392.608225754192
"h8","9303","7705",247.432763778033
"h8","9303","9110",417.393938702957
"h8","9303","9302",239.417005720995
"h8","9303","9304",539.669431526354
"h8","9303","9305",805.897159563186
"h8","9303","9306",721.251749592059
"h8","9303","9307",484.59075119719
"h8","9303","9310",795.77427774454
"h8","9303","9311",931.120770476876
"h8","9303","9312",367.409861865384
"h8","9303","9412",169.939181922109
"h8","9303","9505",116.140038677737
"h8","9303","9506",401.405743241738
"h8","9304","7505",422.187109495052
"h8","9304","7514",448.539352303586
"h8","9304","7709",386.52865850721
"h8","9304","9201",1103.34592871613
"h8","9304","9202",309.403802695395
"h8","9304","9305",281.645860545316
"h8","9304","9309",270.536763231089
"h8","9304","9310",261.689721975062
"h8","9304","9311",230.557923860619
"h8","9304","9312",801.565055913195
"h8","9304","9410",629.117899553066
"h8","9304","9504",155.962261177687
"h8","9304","9509",381.169936135751
"h8","9309","7703",198.014864158635
"h8","9309","7705",205.733095519832
"h8","9309","9102",111.355560417217
"h8","9309","9305",295.296396368779
"h8","9309","9307",1016.89866559694
"h8","9309","9308",340.743156481232
"h8","9309","9310",784.079227161495
"h8","9309","9311",534.064451903975
"h8","9309","9411",226.610238392651
"h8","9309","9412",82.8597879151922
"h8","9309","9506",479.142654526999
"h8","9309","9511",238.900031990647
"h8","9310","9201",786.401517128742
"h8","9310","9302",106.237886485192
"h8","9310","9307",310.282496988612
"h8","9310","9308",307.535098588808
"h8","9310","9309",574.297528518816
"h8","9310","9311",831.872587757521
"h8","9310","9312",279.358423648671
"h8","9310","9403",784.403356381278
"h8","9310","9507",201.824796005992
"h8","9310","9508",399.564339763768
"h8","9311","9210",685.920917452697
"h8","9311","9303",374.433780388685
"h8","9311","9305",582.316981036816
"h8","9311","9308",136.983224826042
"h8","9311","9310",337.362456122515
"h8","9311","9312",1598.62921450186
"h8","9311","9413",160.259036204203
"h8","9311","9502",225.936795582239
"h8","9311","9507",231.390668593998
"h8","9311","9510",239.901457912965
"h8","9311","9511",327.645859319303
"h8","9312","7505",438.479848756589
"h8","9312","7511",517.519343872566
"h8","9312","7512",685.9895501161
"h8","9312","7513",896.929916648822
"h8","9312","7703",229.017142510687
"h8","9312","7706",104.541929729284
"h8","9312","7803",291.938002347611
"h8","9312","9101",142.836700760207
"h8","9312","9104",193.024739848897
"h8","9312","9203",231.078563792123
"h8","9312","9303",455.397204224707
"h8","9312","9308",96.7239673742393
"h8","9312","9309",269.310416623733
"h8","9312","9310",170.975462527995
"h8","9312","9311",1418.8758004102
"h8","9312","9502",225.936795582239
"h8","9312","9503",315.73034721876
"h8","9312","9504",218.702306520263
"h8","9312","9506",235.428648172535
"h8","9402","7706",134.563269501635
"h8","9402","9102",89.1861840187001
"h8","9402","9107",240.796852337081
"h8","9402","9212",288.76691794674
"h8","9402","9305",281.645860545316
"h8","9402","9312",340.527284135928
"h8","9402","9407",247.337705399178
"h8","9402","9410",277.270591645703
"h8","9402","9412",285.253992745121
"h8","9402","9508",803.194430663717
"h8","9403","7507",995.774216438459
"h8","9403","7704",317.311895782086
"h8","9403","7713",100.482432172352
"h8","9403","9110",193.62263920907
"h8","9403","9209",448.090620860321
"h8","9403","9211",651.494353515683
"h8","9403","9309",269.310416623733
"h8","9403","9310",193.465258960525
"h8","9403","9312",416.731018724128
"h8","9403","9402",1031.95188805957
"h8","9403","9404",652.074842086997
"h8","9403","9405",545.614127950332
"h8","9405","7703",281.420925704904
"h8","9405","7807",195.575273759329
"h8","9405","7809",310.716395613491
"h8","9405","9101",620.028073509828
"h8","9405","9103",153.955361243905
"h8","9405","9106",236.820429600943
"h8","9405","9109",293.204206203972
"h8","9405","9308",139.16596099356
"h8","9405","9312",403.544612231543
"h8","9405","9403",367.118503286052
"h8","9405","9404",1495.3253618711
"h8","9405","9406",579.84771933286
"h8","9405","9410",454.332371981359
"h8","9405","9504",133.118667778245
"h8","9405","9505",456.090637958393
"h8","9406","7513",1912.28776790339
"h8","9406","7710",788.417614994734
"h8","9406","9107",573.442579850068
"h8","9406","9112",264.205625601827
"h8","9406","9302",174.151579521106
"h8","9406","9306",219.548235008228
